epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.948,0.96675,1.69143,0.95546,0.02191,0.8798,0.78688,0.57205,0.86598,2.48798,0.9861,0.00062,0.00062,0.00062
2,392.586,0.9514,0.87991,0.92834,0.95174,0.35308,0.68217,0.49966,1.04454,2.20546,1.1118,0.00124753,0.00124753,0.00124753
3,629.747,0.95041,0.79177,0.93026,0.93806,0.73591,0.87143,0.64991,0.96063,1.24955,1.0548,0.00186238,0.00186238,0.00186238
4,872.533,0.90166,0.76356,0.91791,0.91404,0.83376,0.91107,0.66579,0.98596,1.1209,1.07371,0.0019406,0.0019406,0.0019406
5,1103.42,0.86524,0.73889,0.91836,0.84012,0.86012,0.9121,0.68496,0.93462,0.97371,1.04148,0.0019208,0.0019208,0.0019208
6,1346.51,0.83494,0.68807,0.9058,0.86972,0.75126,0.85963,0.64708,0.9574,1.0826,1.07347,0.001901,0.001901,0.001901
7,1489.3,0.80669,0.65047,0.90107,0.92959,0.79795,0.90512,0.6917,0.883,0.94471,1.0204,0.0018812,0.0018812,0.0018812
8,1645.28,0.82103,0.61602,0.90454,0.92014,0.8312,0.91218,0.6804,0.92649,0.98928,1.03853,0.0018614,0.0018614,0.0018614
9,1848.55,0.81849,0.62948,0.90547,0.93096,0.82097,0.92589,0.68561,0.94603,0.8603,1.05067,0.0018416,0.0018416,0.0018416
10,1983.64,0.77199,0.57548,0.89159,0.8228,0.86692,0.90432,0.65726,0.90461,0.89803,1.04066,0.0018218,0.0018218,0.0018218
11,2177.23,0.76826,0.57306,0.89199,0.87635,0.85678,0.93509,0.71145,0.85021,0.76347,1.00298,0.001802,0.001802,0.001802
12,2389.86,0.77374,0.54824,0.89466,0.92103,0.80541,0.92354,0.71433,0.85566,0.7805,1.01788,0.0017822,0.0017822,0.0017822
13,2548.06,0.82003,0.56818,0.90099,0.89915,0.85678,0.93343,0.70404,0.92049,0.76116,1.0389,0.0017624,0.0017624,0.0017624
14,2643.88,0.73953,0.5166,0.88513,0.88035,0.84655,0.92511,0.70242,0.89225,0.76994,1.03784,0.0017426,0.0017426,0.0017426
15,2739.11,0.76353,0.53911,0.89553,0.88866,0.85739,0.93444,0.71634,0.86574,0.70197,1.01578,0.0017228,0.0017228,0.0017228
16,2835.45,0.75171,0.51621,0.88445,0.89519,0.85194,0.93826,0.71816,0.87316,0.68344,1.03085,0.001703,0.001703,0.001703
17,2932.85,0.74781,0.50344,0.8865,0.91898,0.81586,0.92478,0.70673,0.84227,0.77255,1.01736,0.0016832,0.0016832,0.0016832
18,3032.37,0.74445,0.51999,0.88895,0.8696,0.81863,0.92271,0.70783,0.85015,0.72541,1.02852,0.0016634,0.0016634,0.0016634
19,3125.01,0.72736,0.49881,0.88177,0.88975,0.8312,0.9203,0.70193,0.88154,0.80024,1.03483,0.0016436,0.0016436,0.0016436
20,3212.87,0.74077,0.49389,0.88362,0.90698,0.80818,0.90782,0.71373,0.84985,0.76752,1.00951,0.0016238,0.0016238,0.0016238
21,3321.97,0.71813,0.48373,0.88129,0.94213,0.78772,0.91661,0.72717,0.81457,0.79992,1.00638,0.001604,0.001604,0.001604
